dataset	method	config	exit_code	status	duration_seconds	AUC	AUPR	Recall	Precision	F1-score	log	config_sha256
TCM-Suite	Dual-HGNN-CTI	configs/DualHGNN_tcmsuite_compound_cold_start_full.conf	0	OK	40	0.715577(±0.021416)	0.729257(±0.026157)	0.937782(±0.017540)	0.528427(±0.009348)	0.675822(±0.005750)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/01_dual_hgnn_tcmsuite.log	9b9be229cf790d513023453adad7bcd4f7c066375f2873e8cab7c7ea662d5aac
TCMSP	Dual-HGNN-CTI	configs/DualHGNN_tcmsp_compound_cold_start_full.conf	0	OK	53	0.936790(±0.006331)	0.939348(±0.002513)	0.890361(±0.017544)	0.912704(±0.029954)	0.900901(±0.007218)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/02_dual_hgnn_tcmsp.log	c67fb6d04c8aed7393d08925ffd5e3b9ad18cf57fa2f1b94c388487cf27980ec
SymMap2.0	Dual-HGNN-CTI	configs/DualHGNN_symmap_compound_cold_start_full.conf	0	OK	52	0.803699(±0.015803)	0.830540(±0.014266)	0.776578(±0.034295)	0.702562(±0.049279)	0.735893(±0.018446)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/03_dual_hgnn_symmap.log	3e5190243cbf4d789a3d1bcd8ca2b7bfb3d7287ec921334caa84e69a98a516d3
ETCM2.0-mention10	Dual-HGNN-CTI	configs/DualHGNN_etcm_mention10_compound_cold_start_full.conf	0	OK	202	0.914704(±0.004025)	0.910730(±0.003993)	0.868349(±0.009348)	0.829792(±0.005337)	0.848597(±0.004300)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/04_dual_hgnn_etcm_mention10.log	a87029b2dc978c6547eea8715cd9178d0b4161b2eb8752749235456c685a5e67
TCM-Suite	LightGCN-CTI	configs/LightGCNCTI_tcmsuite_compound_cold_start_full.conf	0	OK	23	0.504401(±0.013699)	0.568966(±0.010352)	0.507133(±0.009245)	0.503471(±0.009383)	0.505284(±0.008900)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/05_lightgcn_tcmsuite.log	bbbf7ea49807997f98af24181c5daee62ebd8c3523b663980bca43bf06995f59
TCMSP	LightGCN-CTI	configs/LightGCNCTI_tcmsp_compound_cold_start_full.conf	0	OK	34	0.498521(±0.021111)	0.662029(±0.016537)	0.501301(±0.019403)	0.497656(±0.013201)	0.499443(±0.016039)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/06_lightgcn_tcmsp.log	33c8e601d06e1da02a085e99599e6371d88ef649178a4055b8923feb1df2f305
SymMap2.0	LightGCN-CTI	configs/LightGCNCTI_symmap_compound_cold_start_full.conf	0	OK	29	0.480035(±0.012891)	0.595482(±0.016050)	0.474718(±0.014160)	0.488000(±0.008610)	0.481237(±0.011058)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/07_lightgcn_symmap.log	0e1f09e57d297ddd2aed84ef8628a913b786a234385caa614fb8cc553f8456bb
ETCM2.0-mention10	LightGCN-CTI	configs/LightGCNCTI_etcm_mention10_compound_cold_start_full.conf	0	OK	63	0.501269(±0.011798)	0.608434(±0.010306)	0.501973(±0.011843)	0.499840(±0.007884)	0.500894(±0.009722)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/08_lightgcn_etcm_mention10.log	02fbe5736e1116d9926b622053cae08bfe3efd6cce1e525499ae12e8f914385e
TCM-Suite	R-GCN-CTI	configs/RGCNCTI_tcmsuite_compound_cold_start_full.conf	0	OK	42	0.701502(±0.024374)	0.670161(±0.028661)	0.526964(±0.038198)	0.692270(±0.015733)	0.597853(±0.026917)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/09_rgcn_tcmsuite.log	24feb30a307653cc7999e4cc03c67f223ed11a2fffb6cf055252c906b6b761b9
TCMSP	R-GCN-CTI	configs/RGCNCTI_tcmsp_compound_cold_start_full.conf	0	OK	68	0.915634(±0.009886)	0.910556(±0.009702)	0.818224(±0.016334)	0.872516(±0.012195)	0.844425(±0.011749)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/10_rgcn_tcmsp.log	efb2b9d39b179e46c818894118e4bba5a64aa2b38cd553be09c7997c50c3396a
SymMap2.0	R-GCN-CTI	configs/RGCNCTI_symmap_compound_cold_start_full.conf	0	OK	40	0.806495(±0.018532)	0.812299(±0.026080)	0.778632(±0.033018)	0.712934(±0.030062)	0.743436(±0.011398)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/11_rgcn_symmap.log	5d7f270547e2190fc4156ac33dc6a1a1e33f5b30e29b5a6e58e85befc6639bd0
ETCM2.0-mention10	R-GCN-CTI	configs/RGCNCTI_etcm_mention10_compound_cold_start_full.conf	0	OK	187	0.823376(±0.010844)	0.809541(±0.012075)	0.506237(±0.071135)	0.831331(±0.019509)	0.626291(±0.050005)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/12_rgcn_etcm_mention10.log	17a532a951a59092a7d045f2a4397524dd533d2dba3b9a12ca52985a78628c6e
TCM-Suite	HGT-CTI	configs/HGTCTI_tcmsuite_compound_cold_start_full.conf	0	OK	143	0.718163(±0.049148)	0.696228(±0.066732)	0.608599(±0.046414)	0.685404(±0.044630)	0.642935(±0.028319)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/13_hgt_tcmsuite.log	a08fd6c1f75c3df4c35e3b21b8c67f14c628da3a64c86388cd33d9e844b572d8
TCMSP	HGT-CTI	configs/HGTCTI_tcmsp_compound_cold_start_full.conf	0	OK	144	0.934899(±0.006437)	0.934128(±0.006916)	0.855371(±0.010904)	0.909330(±0.018010)	0.881481(±0.012843)	/home/zry/workspace/HDCTI/results/batch_runs/cold_start_external_baselines_full_20260806_134426/14_hgt_tcmsp.log	23ae3743e9635d6992007c468ca6d91f62301e9176456062ace39da8cd086430
