dataset	method	config	exit_code	status	duration_seconds	AUC	AUPR	Recall	Precision	F1-score	log	config_sha256
TCM-Suite	Dual-HGNN-CTI	configs/DualHGNN_tcmsuite_pair_stratified_full.conf	0	OK	71	0.989912(±0.000755)	0.992152(±0.000452)	0.942774(±0.003015)	0.972047(±0.004669)	0.957177(±0.001877)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/01_dual_hgnn_tcmsuite.log	9a631fb739611096145fbd6e99ca5a199c7a6cfcb16e477228da844fe63b01d9
TCMSP	Dual-HGNN-CTI	configs/DualHGNN_tcmsp_pair_stratified_full.conf	0	OK	103	0.985583(±0.001040)	0.982018(±0.001289)	0.968486(±0.005687)	0.939443(±0.002400)	0.953733(±0.002457)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/02_dual_hgnn_tcmsp.log	e9576544cf39f0340d66f218be220efb141a6ad85a5d676644daa68963a2f820
SymMap2.0	Dual-HGNN-CTI	configs/DualHGNN_symmap_pair_stratified_full.conf	0	OK	89	0.955101(±0.002611)	0.949971(±0.003808)	0.927036(±0.005846)	0.862136(±0.009217)	0.893388(±0.006249)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/03_dual_hgnn_symmap.log	e8381f9446e155578428eec8b198e3c7bffd1341e1765e9ecb0b3f9fbf6e4584
ETCM2.0 mention10	Dual-HGNN-CTI	configs/DualHGNN_etcm_mention10_pair_stratified_full.conf	0	OK	607	0.973145(±0.000685)	0.969338(±0.000897)	0.956452(±0.001630)	0.886105(±0.003687)	0.919931(±0.001853)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/04_dual_hgnn_etcm.log	08d9d4a345c1fc83734d853d58ce61f391244c61d37ceacc10437eeba46f40ee
TCM-Suite	LightGCN-CTI	configs/LightGCNCTI_tcmsuite_pair_stratified_full.conf	0	OK	50	0.987610(±0.001041)	0.990759(±0.000668)	0.962193(±0.002654)	0.955442(±0.002713)	0.958801(±0.001127)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/05_lightgcn_tcmsuite.log	f30ad7905eb4d8d5fb92836e8e8cc8c5e3b4c30a0c413a41cfafe4b1162af6d2
TCMSP	LightGCN-CTI	configs/LightGCNCTI_tcmsp_pair_stratified_full.conf	0	OK	35	0.974818(±0.001178)	0.978862(±0.001224)	0.978593(±0.001211)	0.830679(±0.005718)	0.898582(±0.003667)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/06_lightgcn_tcmsp.log	ef007032317c77cf18b161877f63681f2d55e66340c14d734868fa512421c2f6
SymMap2.0	LightGCN-CTI	configs/LightGCNCTI_symmap_pair_stratified_full.conf	0	OK	24	0.907634(±0.003564)	0.934204(±0.002738)	0.939670(±0.002648)	0.539258(±0.001873)	0.685256(±0.001418)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/07_lightgcn_symmap.log	8d037b76af8511cfaa2f1ea75c24ba0b0f9b78ad7a05aac5a47f62c1e17e7643
ETCM2.0 mention10	LightGCN-CTI	configs/LightGCNCTI_etcm_mention10_pair_stratified_full.conf	0	OK	115	0.962682(±0.001556)	0.965810(±0.001194)	0.973539(±0.001459)	0.759827(±0.002052)	0.853507(±0.001536)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/08_lightgcn_etcm.log	fef337e6cc54006c979a1faed3d0c5abbc3797daa02924bd5f497d30decee166
TCM-Suite	R-GCN-CTI	configs/RGCNCTI_tcmsuite_pair_stratified_full.conf	0	OK	30	0.991413(±0.000714)	0.993130(±0.000404)	0.949987(±0.005270)	0.977363(±0.004223)	0.963465(±0.002142)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/09_rgcn_tcmsuite.log	502701bbc9e5f1b9c9e0206a6771dfe572aba1fb33133247d8dd71eb4ceac745
TCMSP	R-GCN-CTI	configs/RGCNCTI_tcmsp_pair_stratified_full.conf	0	OK	38	0.988418(±0.000871)	0.985264(±0.001306)	0.941357(±0.008954)	0.960181(±0.004963)	0.950639(±0.003011)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/10_rgcn_tcmsp.log	716c77dc6753825a8dfef542bb6fbb10f45726eefa4113d03c86cca2c30c1bab
SymMap2.0	R-GCN-CTI	configs/RGCNCTI_symmap_pair_stratified_full.conf	0	OK	36	0.957825(±0.002369)	0.951821(±0.003799)	0.895397(±0.015718)	0.895259(±0.005696)	0.895230(±0.005690)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/11_rgcn_symmap.log	9bf7470eb537b3454f1d885c8749574efd3d129c4c931ab0f586b37fc4172847
ETCM2.0 mention10	R-GCN-CTI	configs/RGCNCTI_etcm_mention10_pair_stratified_full.conf	0	OK	175	0.979217(±0.001027)	0.976484(±0.001367)	0.916172(±0.010701)	0.941000(±0.003963)	0.928380(±0.004674)	/home/zry/workspace/HDCTI/results/batch_runs/external_baselines_full_20260728_152020/12_rgcn_etcm.log	8b2e482e78756804b1af7bc37002d59d1a4f16d238935c317c61cb17b326d590
